,result,size,start,end
1374050759053676544,FAILURE,10472,1616434206,1616449500
1370158371356807169,SUCCESS,9889,1615506189,1615510822
1375855631352729600,SUCCESS,9866,1616864523,1616868868
1374431450727714816,FAILURE,31583,1616524981,1616530381
1385541967177322496,FAILURE,10845467,1619173924,1619178674
1371567769975263232,SUCCESS,9785,1615842216,1615848422
1385541773979291648,SUCCESS,3751,1619173878,1619178385
1374760429863047168,SUCCESS,9865,1616603416,1616610061
1366979295154540544,SUCCESS,9777,1614748238,1614752726
1381746151933349888,SUCCESS,3839,1618268932,1618273840
1379917352061112320,FAILURE,10091545,1617832913,1617840665
1367646198957084672,SUCCESS,9874,1614907241,1614911589
1379643343687913472,SUCCESS,3838,1617767583,1617771978
1387313672069582848,FAILURE,12649460,1619596332,1619601782
1373975236470378496,SUCCESS,9785,1616416201,1616421035
1367029784676143104,FAILURE,5919109,1614760332,1614765049
1380055085576359936,SUCCESS,3838,1617865751,1617870397
1367198508137844736,FAILURE,5872955,1614800505,1614805386
1373595079221972992,SUCCESS,9882,1616325564,1616329707
